departureAirportFsCode;arrivalAirportFsCode;departureDate;wPrecio;wRetardo;wDuracion;idConnection;directo;departureAirportFsCode_v1;fSalida_v1;hSalida_v1;carrierFsCode_v1;flightNumber_v1;arrivalAirportFsCode_v1;fLlegada_v1;hLlegada_v1;codeshares_v1;temp_v1;humidity_v1;pressure_v1;weather_v1;windSpeed_v1;windDeg_v1;departureAirportFsCode_v2;fSalida_v2;hSalida_v2;carrierFsCode_v2;flightNumber_v2;arrivalAirportFsCode_v2;fLlegada_v2;hLlegada_v2;codeshares_v2;temp_v2;humidity_v2;pressure_v2;weather_v2;windSpeed_v2;windDeg_v2;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_187;false;AUH;2019-10-31;02:40;EY;11;LHR;2019-10-31;06:45;[];null;null;null;null;null;null;LHR;2019-10-31;16:25;BA;440;AMS;2019-10-31;18:45;[];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_188;false;AUH;2019-10-31;02:25;EY;23;DUS;2019-10-31;06:30;[];null;null;null;null;null;null;DUS;2019-10-31;18:40;GA;9957;AMS;2019-10-31;19:35;[(KL-null)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_188;false;AUH;2019-10-31;02:25;EY;23;DUS;2019-10-31;06:30;[];null;null;null;null;null;null;DUS;2019-10-31;18:40;KL;null;AMS;2019-10-31;19:35;[(GA-9957)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_190;false;AUH;2019-10-31;02:15;UX;2736;BCN;2019-10-31;06:50;[(EY-null)];null;null;null;null;null;null;BCN;2019-10-31;17:25;KL;1674;AMS;2019-10-31;19:55;[];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_190;false;AUH;2019-10-31;02:15;EY;null;BCN;2019-10-31;06:50;[(UX-2736)];null;null;null;null;null;null;BCN;2019-10-31;17:25;KL;1674;AMS;2019-10-31;19:55;[];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_191;false;AUH;2019-10-31;02:45;LH;9655;FRA;2019-10-31;06:45;[(EY-null)];null;null;null;null;null;null;FRA;2019-10-31;17:50;WA;1770;AMS;2019-10-31;19:05;[(KL-1770)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_191;false;AUH;2019-10-31;02:45;EY;null;FRA;2019-10-31;06:45;[(LH-9655)];null;null;null;null;null;null;FRA;2019-10-31;17:50;WA;1770;AMS;2019-10-31;19:05;[(KL-1770)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_191;false;AUH;2019-10-31;02:45;LH;9655;FRA;2019-10-31;06:45;[(EY-null)];null;null;null;null;null;null;FRA;2019-10-31;17:50;KL;1770;AMS;2019-10-31;19:05;[(WA-1770)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_191;false;AUH;2019-10-31;02:45;EY;null;FRA;2019-10-31;06:45;[(LH-9655)];null;null;null;null;null;null;FRA;2019-10-31;17:50;KL;1770;AMS;2019-10-31;19:05;[(WA-1770)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_192;false;AUH;2019-10-31;02:45;LH;9655;FRA;2019-10-31;06:45;[(EY-null)];null;null;null;null;null;null;FRA;2019-10-31;17:40;LH;998;AMS;2019-10-31;18:55;[];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_192;false;AUH;2019-10-31;02:45;EY;null;FRA;2019-10-31;06:45;[(LH-9655)];null;null;null;null;null;null;FRA;2019-10-31;17:40;LH;998;AMS;2019-10-31;18:55;[];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_193;false;AUH;2019-10-31;02:45;EY;613;CMN;2019-10-31;08:30;[];null;null;null;null;null;null;CMN;2019-10-31;12:30;AT;850;AMS;2019-10-31;16:05;[];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_196;false;AUH;2019-10-31;02:40;LH;9661;MUC;2019-10-31;06:15;[(EY-null)];null;null;null;null;null;null;MUC;2019-10-31;17:35;KL;1798;AMS;2019-10-31;19:15;[];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_196;false;AUH;2019-10-31;02:40;EY;null;MUC;2019-10-31;06:15;[(LH-9661)];null;null;null;null;null;null;MUC;2019-10-31;17:35;KL;1798;AMS;2019-10-31;19:15;[];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_197;false;AUH;2019-10-31;02:10;EY;75;MAD;2019-10-31;07:25;[];null;null;null;null;null;null;MAD;2019-10-31;15:00;EY;4351;AMS;2019-10-31;17:45;[(UX-null)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_197;false;AUH;2019-10-31;02:10;EY;75;MAD;2019-10-31;07:25;[];null;null;null;null;null;null;MAD;2019-10-31;15:00;UX;null;AMS;2019-10-31;17:45;[(EY-4351)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_199;false;AUH;2019-10-31;02:25;EY;23;DUS;2019-10-31;06:30;[];null;null;null;null;null;null;DUS;2019-10-31;18:40;WA;1862;AMS;2019-10-31;19:35;[(KL-1862)];null;null;null;null;null;null;
AUH;AMS;20191031;1;3;2;AUHAMS_20191031_199;false;AUH;2019-10-31;02:25;EY;23;DUS;2019-10-31;06:30;[];null;null;null;null;null;null;DUS;2019-10-31;18:40;KL;1862;AMS;2019-10-31;19:35;[(WA-1862)];null;null;null;null;null;null;
